179406,7279,,19.21130657,-7.93950077,373.13432840000007,5.35,0.094,,0,Aql,0
179761,7287,,19.22852764,2.2937137,196.4636542,5.14,-0.071,,0,Aql,0
180482,7303,,19.27528416,4.83482079,167.50418760000005,5.59,0.101,,0,Aql,0
180972,7319,,19.30902467,1.08508548,116.8224299,5.10,1.143,,0,Aql,0
181053,7321,,19.31414832,0.33900138,149.70059880000002,6.40,1.050,,0,Aql,0
184492,7430,,19.58534812,-10.56043644,136.23978199999993,5.12,1.122,,0,Aql,0
185124,7460,,19.62979344,-4.64750966,32.113037889999994,5.45,0.429,,0,Aql,0
185762,7480,,19.67869802,-0.6212928,87.412587409999986,5.64,0.123,,0,Aql,0
186122,7493,,19.70355912,12.19328167,220.7505519,6.33,-0.077,,0,Aql,0
187532,7553,,19.84633416,-10.76358902,26.413100899999986,5.38,0.402,,0,Aql,0
188154,7584,,19.90229793,-8.57416489,120.91898429999999,5.76,1.664,,0,Aql,0
188293,7593,,19.91045767,-8.22722614,102.66940449999998,5.70,-0.079,,0,Aql,0
188294,7594,,19.91057234,-8.2369743,110.864745,6.49,-0.040,,0,Aql,0
188350,7596,,19.91243674,0.27365959,105.82010580000002,5.60,0.098,,0,Aql,0
190299,7667,,20.07309807,-0.70902114,178.5714286000001,5.67,1.301,,0,Aql,0
191067,7690,,20.13382082,-0.67802026,47.869794159999962,5.97,1.023,,0,Aql,0
192107,7720,,20.22051872,-1.00926621,272.47956399999993,5.44,1.430,,0,Aql,0
194939,7821,,20.47358037,-3.35774231,170.9401709,6.12,-0.049,,0,Aql,0
195135,7831,,20.49415518,-2.8854763,58.548009369999953,4.91,1.160,,0,Aql,0
196321,7873,,20.61211862,-2.54991814,675.6756757,4.91,1.606,,0,Aql,0
182572,7373,,19.4160473,11.94285122,15.149219819999997,5.17,0.761,b,0,Aql,0
183324,7400,,19.48360792,1.95052861,58.99705015,5.79,0.088,c,0,Aql,0
181440,7336,,19.34324532,-0.89216854,156.25,5.46,-0.041,d,0,Aql,0
183630,7414,,19.51106221,-2.78886135,154.08320490000006,5.03,1.770,e,0,Aql,0
181391,7333,,19.34245505,-5.41587489,47.23665564,4.98,0.937,f,0,Aql,0
176155,7165,,18.97076314,17.36093633,757.5757576,5.33,0.731,FF,0,Aql,0
176984,7209,,19.04846997,-3.69900363,153.13935680000014,5.40,-0.005,g,0,Aql,0
177463,7225,,19.0826832,-4.03135505,99.601593630000011,5.40,1.120,h,0,Aql,0
176678,7193,,19.02801149,-5.73901832,45.558086559999992,4.02,1.079,i,0,Aql,0
188310,7595,,19.90411715,8.46165027,62.656641599999986,4.71,1.023,ksi,0,Aql,0
196574,7884,,20.63896486,-1.10507951,117.64705879999988,4.31,0.949,l,0,Aql,0
185936,7486,,19.68486896,13.81570826,505.05050510000024,5.98,-0.078,QS,0,Aql,0
177940,7243,,19.10618031,8.23016469,211.4164905,7.61,1.136,R,0,Aql,0
183344,7402,,19.48926694,-7.04406367,487.80487799999986,6.37,0.870,U,0,Aql,0
173370,7040,,18.7472036,2.06007487,144.7178003,5.02,-0.055,,0,Aql,4
173654,7059,,18.7746063,-0.96163956,79.239302689999988,5.89,0.131,,0,Aql,5
