// Improperly altering this file can cause SolarMax to malfunction

// Baseline Date
2011/03/01 12:00:00

// Name, X, Y, Z, VX, VY, VZ
Rhea,-1.400108642889492E+09, -3.134303506364648E+08,  6.117181716417309E+07,  1.699227761099490E+00, -1.897236980365269E+00, -3.800959824246172E+00
Titan,-1.399570373223136E+09, -3.129638497002445E+08,  6.087717730449498E+07, -8.777832703302731E-01, -4.789048950281371E+00, -2.054242587463081E+00
Iapetus,-1.397237597816078E+09, -3.136062820513357E+08,  6.057348629365137E+07,  1.617782498068191E+00, -6.169263212736988E+00, -6.700213561395345E-01
Ariel,3.004714979726339E+09,  9.027132916585326E+06, -3.872767817976687E+07,  4.629166556017437E+00,  5.862623028429864E+00,  2.832741264101390E+00
Umbriel,3.005064654066725E+09,  8.934117105423748E+06, -3.884696195907739E+07,  5.362146558255920E-01,  5.740513891383787E+00, -4.523734888283194E+00
Titania,3.004429327315835E+09,  9.094289705139963E+06, -3.869809021889204E+07,  1.596175697961620E+00,  6.590279473902356E+00,  3.259024494935830E+00
Oberon,3.004645911034668E+09,  8.940187415526355E+06, -3.944880961689515E+07, -3.031904732995216E+00,  7.257177582737361E+00,  8.073619167428894E-01
Miranda,3.004821460549323E+09,  8.991610070522243E+06, -3.876118221511855E+07,  6.321159907337530E+00,  4.655289871689268E+00, -6.399723732740399E-01
Triton,3.819600905460362E+09, -2.359326832391810E+09, -3.951986931259549E+07,  1.314540939450609E-01,  5.944050887964186E+00,  3.066360011579278E+00
Nereid,3.816993340949909E+09, -2.356265767955643E+09, -3.941406785230112E+07,  2.857753576716684E+00,  3.188488452713009E+00, -2.580578519014431E-01
Naiad,3.819868300026147E+09, -2.359068806352917E+09, -3.945573572527897E+07,  5.563463327752828E+00,  1.579049305192539E+01,  3.087820294457575E+00
Thalassa,3.819832916934017E+09, -2.359107505689918E+09, -3.945913015724123E+07,  1.348704987495458E+01,  8.297864401886399E+00, -3.265371712528875E+00
Despina,3.819867035113867E+09, -2.359034366349999E+09, -3.944703318978322E+07, -2.030405185454959E+00,  1.360727340448875E+01,  5.022167913049019E+00
Galatea,3.819767842651333E+09, -2.359053733249791E+09, -3.941328480913734E+07,  1.223507269925893E-01, -5.196572802444640E+00, -2.584504063076055E+00
Larissa,3.819768123029401E+09, -2.359110873091265E+09, -3.943363364474988E+07,  8.150715530014679E+00, -1.950309599156609E+00, -4.692527100361357E+00
